时间点,车牌号,经度,纬度,速度,地址
,,103.774193,36.438985,0,甘肃省兰州市皋兰县西岔镇上窝窝井东北约696米
,,103.775199,36.435691,0,甘肃省兰州市皋兰县西岔镇上窝窝井东南约735米
,,103.776106,36.432575,0,甘肃省兰州市皋兰县西岔镇窝窝井东南约808米
,,103.777231,36.429872,0,甘肃省兰州市皋兰县西岔镇下窝窝井东北约755米
,,103.777649,36.429089,0,甘肃省兰州市皋兰县西岔镇下窝窝井东北约698米
,,103.779043,36.427050,0,甘肃省兰州市皋兰县西岔镇下窝窝井东北约618米
,,103.779460,36.426527,0,甘肃省兰州市皋兰县西岔镇下窝窝井东北约618米
,,103.781589,36.424439,0,甘肃省兰州市皋兰县西岔镇葛家沟西北约583米
,,103.781877,36.424183,0,甘肃省兰州市皋兰县西岔镇葛家沟西北约551米
,,103.784373,36.422409,0,甘肃省兰州市皋兰县西岔镇葛家沟西南约314米
,,103.787009,36.420595,0,甘肃省兰州市皋兰县西岔镇葛家沟西南约267米
,,103.789566,36.418866,0,甘肃省兰州市皋兰县西岔镇葛家沟东南约476米
,,103.792024,36.417093,0,甘肃省兰州市皋兰县西岔镇葛家沟东南约748米
,,103.794603,36.415046,0,甘肃省兰州市皋兰县西岔镇
,,103.796646,36.412931,0,甘肃省兰州市皋兰县西岔镇米地沟西南约846米
,,103.798211,36.410581,0,甘肃省兰州市皋兰县西岔镇米地沟西南约779米
,,103.799299,36.408226,0,甘肃省兰州市皋兰县西岔镇王家沟东北约809米
,,103.800446,36.405520,0,甘肃省兰州市皋兰县西岔镇王家沟东北约729米
,,103.801484,36.403163,0,甘肃省兰州市皋兰县水阜镇东刘家沟东北约691米
,,103.802701,36.400274,0,甘肃省兰州市皋兰县水阜镇东刘家沟东北约460米
,,103.804098,36.396985,0,甘肃省兰州市皋兰县水阜镇东刘家沟东南约435米
,,103.805285,36.394164,0,甘肃省兰州市皋兰县水阜镇大2东沟西北约326米
,,103.806372,36.391592,0,甘肃省兰州市皋兰县水阜镇大2东沟西南约200米
,,103.807979,36.387806,0,甘肃省兰州市皋兰县水阜镇大2东沟西南约524米
,,103.808747,36.386003,0,甘肃省兰州市皋兰县水阜镇偏沟西南约528米
,,103.809835,36.384167,0,甘肃省兰州市皋兰县水阜镇耿家沟西北约353米
,,103.810124,36.383796,0,甘肃省兰州市皋兰县水阜镇耿家沟西北约318米
,,103.811702,36.382126,0,甘肃省兰州市皋兰县水阜镇耿家沟西南约215米
,,103.813211,36.380585,0,甘肃省兰州市皋兰县水阜镇耿家沟西南约303米
,,103.814730,36.379012,0,甘肃省兰州市皋兰县水阜镇牛家窑沟东北约448米
,,103.816050,36.377259,0,甘肃省兰州市皋兰县水阜镇牛家窑沟东北约422米
,,103.816649,36.376213,0,甘肃省兰州市皋兰县水阜镇牛家窑沟东北约446米
,,103.817609,36.374582,0,甘肃省兰州市皋兰县水阜镇牛家窑沟东南约547米
,,103.818699,36.372738,0,甘肃省兰州市皋兰县水阜镇牛家窑沟东南约714米
,,103.819819,36.370804,0,甘肃省兰州市皋兰县水阜镇双岔沟西北约481米
,,103.821009,36.368787,0,甘肃省兰州市皋兰县水阜镇双岔沟西北约243米
,,103.822249,36.366769,0,甘肃省兰州市皋兰县水阜镇双岔沟东北约104米
,,103.824772,36.363691,0,甘肃省兰州市皋兰县水阜镇李家窑沟东北约317米
,,103.826334,36.361895,0,甘肃省兰州市皋兰县水阜镇李家窑沟东北约343米
,,103.828037,36.359926,0,甘肃省兰州市皋兰县水阜镇李家窑沟东南约522米
,,103.829791,36.357916,0,甘肃省兰州市皋兰县水阜镇安家沟东北约547米
,,103.831425,36.356006,0,甘肃省兰州市皋兰县水阜镇安家沟东北约486米
,,103.832928,36.354088,0,甘肃省兰州市皋兰县水阜镇安家沟东北约541米
,,103.834302,36.352263,0,甘肃省兰州市皋兰县水阜镇安家沟东南约677米
,,103.835916,36.350532,0,甘肃省兰州市皋兰县水阜镇东湖子沟东北约658米
,,103.837721,36.348879,0,甘肃省兰州市皋兰县水阜镇东山直沟西北约471米
,,103.839637,36.346973,0,甘肃省兰州市皋兰县水阜镇东山直沟东北约295米
,,103.840921,36.345230,0,甘肃省兰州市皋兰县水阜镇东山直沟东北约265米
,,103.841201,36.344754,0,甘肃省兰州市皋兰县水阜镇东岔沟西北约250米
,,103.842264,36.342845,0,甘肃省兰州市皋兰县水阜镇东岔沟西南约128米
,,103.843457,36.340704,0,甘肃省兰州市皋兰县水阜镇东岔沟西南约305米
,,103.844741,36.338421,0,甘肃省兰州市皋兰县水阜镇达东沟东北约313米
,,103.845854,36.336452,0,甘肃省兰州市皋兰县水阜镇达东沟东北约282米
,,103.847027,36.334273,0,甘肃省兰州市皋兰县水阜镇安家直沟西北约423米
,,103.848120,36.332236,0,甘肃省兰州市皋兰县水阜镇安家直沟西南约381米
,,103.849133,36.330150,0,甘肃省兰州市皋兰县水阜镇夹岔子西北约443米
,,103.850196,36.328024,0,甘肃省兰州市皋兰县水阜镇夹岔子西北约190米
,,103.851259,36.325839,0,甘肃省兰州市皋兰县水阜镇夹岔子西南约80米
,,103.852282,36.323696,0,甘肃省兰州市皋兰县水阜镇夹岔子东南约331米
,,103.853376,36.321242,0,甘肃省兰州市皋兰县水阜镇大徐家沟东北约454米
,,103.854228,36.319481,0,甘肃省兰州市皋兰县水阜镇陈家沟东北约443米
,,103.855191,36.317691,0,甘肃省兰州市皋兰县水阜镇陈家沟东北约422米
,,103.856263,36.316119,0,甘肃省兰州市皋兰县水阜镇陈家沟东南约509米
,,103.856784,36.315474,0,甘肃省兰州市皋兰县水阜镇甘肃正尚西北约544米
,,103.857996,36.314333,0,甘肃省兰州市皋兰县水阜镇水埠停车区-公厕西北约391米
,,103.859317,36.313182,0,甘肃省兰州市皋兰县水阜镇水埠停车区-公厕西北约217米
,,103.859397,36.313061,0,甘肃省兰州市皋兰县水阜镇水埠停车区-公厕西北约202米
,,103.859427,36.312941,0,甘肃省兰州市皋兰县水阜镇水埠停车区-公厕西北约191米
,,103.859427,36.312821,0,甘肃省兰州市皋兰县水阜镇水埠停车区-公厕西北约182米
,,103.859398,36.312701,0,甘肃省兰州市皋兰县水阜镇水埠停车区-公厕西北约175米
,,103.859328,36.312602,0,甘肃省兰州市皋兰县水阜镇水埠停车区-公厕西北约174米
